"","State","Price","Size","Beds","Baths"
"1","CA",533,1589,3,2.5
"2","CA",610,2008,3,2
"3","CA",899,2380,5,3
"4","CA",929,1868,3,3
"5","CA",210,1360,2,2
"6","CA",268,2131,3,2
"7","CA",1095,2436,3,2
"8","CA",699,1375,2,1
"9","CA",729,2013,3,4
"10","CA",700,1371,3,2
"11","CA",145,1440,3,2
"12","CA",469,2286,3,3
"13","CA",610,2008,3,2
"14","CA",841,2474,3,3.5
"15","CA",300,1464,3,3
"16","CA",285,1419,3,2
"17","CA",640,1440,3,2
"18","CA",929,2479,4,3
"19","CA",714,2191,4,3
"20","CA",559,1309,3,2
"21","CA",235,2224,3,2
"22","CA",180,834,2,1
"23","CA",148,972,3,1
"24","CA",195,1688,4,2
"25","CA",619,1431,3,2.5
"26","CA",549,1488,3,2
"27","CA",408,1477,3,2
"28","CA",835,2340,3,3
"29","CA",368,1828,5,2
"30","CA",360,1053,3,2
"31","NJ",135,960,3,2
"32","NJ",235,2010,3,3
"33","NJ",200,1388,3,3
"34","NJ",350,1510,3,1
"35","NJ",165,1438,3,2
"36","NJ",249,1700,3,2
"37","NJ",220,1392,3,2
"38","NJ",320,2216,4,3
"39","NJ",115,986,3,2
"40","NJ",275,2193,5,4
"41","NJ",599,3562,4,3
"42","NJ",279,1196,4,2
"43","NJ",439,2394,4,3
"44","NJ",580,3421,4,4
"45","NJ",230,1422,3,1
"46","NJ",625,1488,3,2
"47","NJ",215,1420,3,2
"48","NJ",209,2108,4,3
"49","NJ",279,984,3,1
"50","NJ",330,2024,5,2
"51","NJ",265,1828,4,3
"52","NJ",280,1937,3,3
"53","NJ",500,2060,4,3
"54","NJ",650,3462,4,3
"55","NJ",129,1012,3,2
"56","NJ",410,1560,3,2
"57","NJ",639,1239,2,2
"58","NJ",260,1836,3,3
"59","NJ",369,1065,4,1
"60","NJ",305,1800,3,3
"61","NY",179,1742,3,2
"62","NY",294,1600,4,2
"63","NY",1250,2000,4,4
"64","NY",825,1200,3,3
"65","NY",35,936,2,1
"66","NY",75,1784,2,1.5
"67","NY",143,2040,3,1
"68","NY",195,2079,6,4
"69","NY",175,2668,5,3
"70","NY",85,1904,3,3
"71","NY",160,1500,3,2
"72","NY",125,1052,3,1
"73","NY",130,1476,4,2
"74","NY",259,2976,5,2
"75","NY",775,3750,4,4
"76","NY",254,1500,3,2
"77","NY",359,1924,4,2
"78","NY",140,1710,4,3
"79","NY",445,3551,3,3
"80","NY",364,2116,4,3
"81","NY",180,1515,4,2
"82","NY",260,2090,4,3
"83","NY",430,2720,4,3
"84","NY",165,1462,4,2
"85","NY",195,1627,4,2
"86","NY",1000,2743,5,4
"87","NY",929,2197,4,3
"88","NY",875,1456,3,2
"89","NY",289,1823,3,2
"90","NY",370,1742,3,3
"91","PA",230,2628,4,2
"92","PA",475,4286,4,4
"93","PA",225,1104,2,2
"94","PA",220,1132,3,1
"95","PA",180,1508,3,3
"96","PA",399,3290,4,4
"97","PA",550,4100,5,5
"98","PA",290,2000,3,3
"99","PA",110,1224,3,2
"100","PA",190,2076,3,2
"101","PA",342,1502,3,2
"102","PA",99,1380,3,1
"103","PA",410,1980,3,2
"104","PA",315,2024,3,2
"105","PA",240,1304,3,1
"106","PA",515,4163,4,4
"107","PA",350,1667,4,2
"108","PA",135,900,2,2
"109","PA",300,1565,3,2
"110","PA",545,3370,5,4
"111","PA",265,1576,3,3
"112","PA",235,1818,3,2
"113","PA",50,540,1,1
"114","PA",145,1271,3,2
"115","PA",345,1788,3,2
"116","PA",190,1680,4,2
"117","PA",190,1500,3,3
"118","PA",90,1768,3,2
"119","PA",228,1732,3,4
"120","PA",109,1770,3,2
