"","Country","Region","Happiness","LifeExpectancy","Footprint","HLY","HPI","HPIRank","GDPperCapita","HDI","Population"
"1","Albania",7,5.5,76.2,2.2,41.7,47.91,54,5316,0.801,3.15
"2","Algeria",3,5.6,71.7,1.7,40.1,51.23,40,7062,0.733,32.85
"3","Angola",4,4.3,41.7,0.9,17.8,26.78,130,2335,0.446,16.1
"4","Argentina",1,7.1,74.8,2.5,53.4,58.95,15,14280,0.869,38.75
"5","Armenia",7,5,71.7,1.4,36.1,48.28,48,4945,0.775,3.02
"6","Australia",2,7.9,80.9,7.8,63.7,36.64,102,31794,0.962,20.4
"7","Austria",2,7.8,79.4,5,61.9,47.69,57,33700,0.948,8.23
"8","Azerbaijan",7,5.3,67.1,2.2,35.4,41.21,85,5016,0.746,8.39
"9","Bangladesh",5,5.3,63.1,0.6,33.1,54.09,31,2053,0.547,153.28
"10","Belarus",7,5.8,68.7,3.9,40.1,35.67,104,7918,0.804,9.78
"11","Belgium",2,7.6,78.8,5.1,60,45.36,64,32119,0.946,10.48
"12","Belize",1,6.6,75.9,2.6,50.2,54.53,27,7109,0.778,0.29
"13","Benin",4,3,55.4,1,16.7,24.58,134,1141,0.437,8.49
"14","Bhutan",5,6.1,64.7,1,39.7,58.5,17,3649,0.579,0.64
"15","Bolivia",1,6.5,64.7,2.1,42.1,49.35,47,2819,0.695,9.18
"16","Bosnia and Herzegovina",7,5.9,74.5,2.9,44,44.96,65,7032,0.803,3.78
"17","Botswana",4,4.7,48.1,3.6,22.6,20.85,141,12387,0.654,1.84
"18","Brazil",1,7.6,71.7,2.4,54.3,61.01,9,8402,0.8,186.83
"19","Bulgaria",7,5.5,72.7,2.7,39.8,42.04,82,9032,0.824,7.74
"20","Burkina Faso",4,3.6,51.4,2,18.7,22.4,138,1213,0.37,13.93
"21","Burma",5,5.9,60.8,1.1,35.6,51.23,39,1027,0.583,47.97
"22","Burundi",4,2.9,48.5,0.8,14.3,21.84,139,699,0.413,7.86
"23","Cambodia",6,4.9,58,0.9,28.4,42.34,80,2727,0.598,13.96
"24","Cameroon",4,3.9,49.8,1.3,19.6,27.22,126,2299,0.532,17.8
"25","Canada",2,8,80.3,7.1,64,39.4,89,33375,0.961,32.31
"26","Central African Republic",4,4,43.7,1.6,17.6,22.88,137,1224,0.384,4.19
"27","Chad",4,5.4,50.4,1.7,27,34.27,109,1427,0.388,10.15
"28","Chile",1,6.3,78.3,3,49.2,49.72,46,12027,0.867,16.3
"29","China",6,6.7,72.5,2.1,48.6,57.11,20,6757,0.777,1304.5
"30","Colombia",1,7.3,72.3,1.8,53,66.1,6,7304,0.791,44.95
"31","Congo",4,3.6,54,0.5,19.7,32.43,112,1262,0.548,3.61
"32","Congo, Dem. Rep. of the",4,3.9,45.8,0.6,18,29.04,120,714,0.411,58.74
"33","Costa Rica",1,8.5,78.5,2.3,66.7,76.12,1,10180,0.846,4.33
"34","Croatia",7,6.4,75.3,3.2,48.3,47.23,60,13042,0.85,4.44
"35","Cuba",1,6.7,77.7,1.8,52.4,65.68,7,6000,0.838,11.26
"36","Cyprus",2,7.2,79,4.5,56.6,46.19,62,22699,0.903,0.76
"37","Czech Republic",7,6.9,75.9,5.4,52,38.31,92,20538,0.891,10.23
"38","Denmark",2,8.1,77.9,8,62.9,35.47,105,33973,0.949,5.42
"39","Djibouti",4,5.7,53.9,1.5,30.5,40.44,87,2178,0.516,0.8
"40","Dominican Republic",1,7.6,71.5,1.5,54.2,71.78,2,8217,0.779,9.47
"41","Ecuador",1,6.4,74.7,2.2,48,55.46,25,4341,0.772,13.06
"42","Egypt",3,6.7,70.7,1.7,47.2,60.32,12,4337,0.708,72.85
"43","El Salvador",1,6.7,71.3,1.6,47.6,61.46,8,5255,0.735,6.67
"44","Estonia",7,5.6,71.2,6.4,40.1,26.42,131,15478,0.86,1.35
"45","Ethiopia",4,4,51.8,1.4,20.6,28.1,124,1055,0.406,75.17
"46","Finland",2,8,78.9,5.2,63.3,47.23,59,32153,0.952,5.25
"47","France",2,7.1,80.2,4.9,56.6,43.86,71,30386,0.952,60.87
"48","Georgia",7,4.3,70.7,1.1,30.1,43.6,72,3365,0.754,4.47
"49","Germany",2,7.2,79.1,4.2,56.8,48.07,51,29461,0.935,82.47
"50","Ghana",4,4.7,59.1,1.5,28,37.1,100,2480,0.553,22.54
